##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-03-09
wl_nm,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
 953.725,4.27726e-21,3.44263e-21,8.59735e-21, 1.44187e-22, 1.15151e-22,2.05864e-22,4.02437e-21,3.43899e-21,8.58035e-21,1.08709e-22,1.08709e-22,4.99625e-22,1.05897e-27,1.05881e-27,2.38526e-26,1.95267e-31,1.95267e-31,4.32989e-29,1.34665e-31,1.34665e-31,1.08775e-28,3.16434e-38,3.16434e-38,8.43693e-33,3.55986e-31,3.55986e-31,2.41145e-28,1.62887e-39,1.62887e-39,1.07995e-33
 946.444,4.66828e-21,3.73911e-21,9.22641e-21, 1.60858e-22, 1.27294e-22,2.23474e-22,4.38930e-21,3.73507e-21,9.20830e-21,1.18120e-22,1.18120e-22,5.32843e-22,1.22491e-27,1.22471e-27,2.69567e-26,2.34861e-31,2.34861e-31,5.04429e-29,1.59395e-31,1.59395e-31,1.24177e-28,3.98114e-38,3.98114e-38,9.92045e-33,4.01035e-31,4.01035e-31,2.63874e-28,1.97651e-39,1.97650e-39,1.23619e-33
 939.274,5.09184e-21,4.05818e-21,9.88321e-21, 1.79238e-22, 1.40669e-22,2.42154e-22,4.78432e-21,4.05371e-21,9.86391e-21,1.28279e-22,1.28279e-22,5.67968e-22,1.41599e-27,1.41575e-27,3.04485e-26,2.82302e-31,2.82302e-31,5.87327e-29,1.88567e-31,1.88567e-31,1.41698e-28,5.00554e-38,5.00554e-38,1.16594e-32,4.51649e-31,4.51649e-31,2.88678e-28,2.39728e-39,2.39727e-39,1.41455e-33
 932.212,5.55034e-21,4.40187e-21,1.04866e-20, 1.99476e-22, 1.54817e-22,2.62516e-22,5.21162e-21,4.39695e-21,1.04657e-20,1.39240e-22,1.39240e-22,6.08188e-22,1.63589e-27,1.63558e-27,3.45307e-26,3.39107e-31,3.39107e-31,6.83467e-29,2.22960e-31,2.22960e-31,1.61621e-28,6.28949e-38,6.28949e-38,1.36969e-32,5.08499e-31,5.08499e-31,3.15738e-28,2.90637e-39,2.90635e-39,1.61811e-33
 925.255,6.04631e-21,4.76979e-21,1.11236e-20, 2.21728e-22, 1.70996e-22,2.84516e-22,5.67352e-21,4.76433e-21,1.11011e-20,1.51060e-22,1.51060e-22,6.47463e-22,1.88879e-27,1.88842e-27,3.90250e-26,4.07082e-31,4.07082e-31,7.94838e-29,2.63487e-31,2.63487e-31,1.84188e-28,7.89770e-38,7.89770e-38,1.60829e-32,5.72335e-31,5.72335e-31,3.45253e-28,3.52202e-39,3.52200e-39,1.85036e-33
 918.401,6.58246e-21,5.16132e-21,1.18665e-20, 2.46164e-22, 1.87850e-22,3.04652e-22,6.17250e-21,5.15530e-21,1.18426e-20,1.63799e-22,1.63799e-22,6.88504e-22,2.17948e-27,2.17902e-27,4.40804e-26,4.88370e-31,4.88370e-31,9.23668e-29,3.11216e-31,3.11216e-31,2.09657e-28,9.91076e-38,9.91076e-38,1.88760e-32,6.43993e-31,6.43993e-31,3.77439e-28,4.26622e-39,4.26620e-39,2.11523e-33
 911.649,7.16165e-21,5.57779e-21,1.26508e-20, 2.72961e-22, 2.06678e-22,3.33410e-22,6.71116e-21,5.57113e-21,1.26253e-20,1.77521e-22,1.77521e-22,7.31433e-22,2.51339e-27,2.51281e-27,4.97638e-26,5.85514e-31,5.85514e-31,1.07279e-28,3.67399e-31,3.67399e-31,2.38546e-28,1.24290e-37,1.24290e-37,2.21439e-32,7.24409e-31,7.24409e-31,4.12528e-28,5.16543e-39,5.16541e-39,2.41723e-33
 904.994,7.78688e-21,6.02299e-21,1.34781e-20, 3.02308e-22, 2.26239e-22,3.61748e-22,7.29228e-21,6.01567e-21,1.34509e-20,1.92295e-22,1.92295e-22,7.76622e-22,2.89673e-27,2.89601e-27,5.61498e-26,7.01534e-31,7.01534e-31,1.24529e-28,4.33496e-31,4.33496e-31,2.71297e-28,1.55770e-37,1.55770e-37,2.59657e-32,8.14625e-31,8.14625e-31,4.50773e-28,6.25146e-39,6.25142e-39,2.76144e-33
 898.436,8.46138e-21,6.50004e-21,1.43501e-20, 3.34405e-22, 2.48130e-22,3.90557e-22,7.91878e-21,6.49197e-21,1.43211e-20,2.08192e-22,2.08192e-22,8.24621e-22,3.33653e-27,3.33565e-27,6.33211e-26,8.40007e-31,8.40007e-31,1.44472e-28,5.11217e-31,5.11217e-31,3.08412e-28,1.95099e-37,1.95099e-37,3.04330e-32,9.15807e-31,9.15807e-31,4.92450e-28,7.56254e-39,7.56250e-39,3.15362e-33
 891.973,9.18850e-21,7.01984e-21,1.52686e-20, 3.69462e-22, 2.71233e-22,4.21069e-22,8.59374e-21,7.01098e-21,1.52377e-20,2.25288e-22,2.25288e-22,8.76037e-22,3.84082e-27,3.83973e-27,7.13826e-26,1.00517e-30,1.00517e-30,1.67518e-28,6.02557e-31,6.02557e-31,3.50453e-28,2.44202e-37,2.44202e-37,3.56527e-32,1.02925e-30,1.02925e-30,5.37855e-28,9.14464e-39,9.14458e-39,3.60033e-33
